Reynold,Mach,Alpha,cl,cd,cdp,cm
8958.0,0.1,-1.6,-0.1337,0.0451,0.02714,-0.0291
8958.0,0.1,-1.3,-0.1119,0.04516,0.02591,-0.0296
8958.0,0.1,-1.0,-0.0906,0.04543,0.02518,-0.0294
8958.0,0.1,-0.7,-0.0698,0.04583,0.02472,-0.0288
8958.0,0.1,-0.4,-0.0494,0.04631,0.02448,-0.0282
8958.0,0.1,-0.1,-0.0292,0.04688,0.0244,-0.0275
8958.0,0.1,0.19999999999999998,-0.0092,0.04753000000000001,0.02448,-0.026799999999999997
8958.0,0.1,0.5,0.010499999999999999,0.04825000000000001,0.0247,-0.0262
8958.0,0.1,0.7999999999999999,0.0299,0.04906,0.02506,-0.0256
8958.0,0.1,1.0999999999999999,0.048999999999999995,0.04993999999999999,0.025540000000000004,-0.024999999999999998
8958.0,0.1,1.4000000000000001,0.06779999999999999,0.0509,0.026159999999999996,-0.024499999999999997
8958.0,0.1,1.7,0.0863,0.05195,0.02689,-0.0241
8958.0,0.1,2.0,0.10430000000000002,0.05308999999999999,0.027750000000000004,-0.0237
8958.0,0.1,2.3,0.122,0.05430999999999999,0.02873,-0.0234
8958.0,0.1,2.6,0.1393,0.055630000000000006,0.029849999999999998,-0.0232
8958.0,0.1,2.9,0.1563,0.05704,0.031080000000000003,-0.023
8958.0,0.1,3.1999999999999997,0.17290000000000003,0.058539999999999995,0.03244,-0.022999999999999996
8958.0,0.1,3.5,0.18890000000000004,0.060149999999999995,0.03393000000000001,-0.0229
8958.0,0.1,3.8000000000000003,0.20469999999999997,0.061860000000000005,0.03554000000000001,-0.022999999999999996
8958.0,0.1,4.1000000000000005,0.22,0.06366,0.03726000000000001,-0.0232
8958.0,0.1,4.3999999999999995,0.2350714285714286,0.06555714285714286,0.03910285714285715,-0.0234
8958.0,0.1,4.7,0.24969999999999998,0.06755,0.04106,-0.0237
8958.0,0.1,5.0,0.2641,0.06963,0.04312,-0.0241
8958.0,0.1,5.3,0.2783,0.07181,0.04529,-0.024499999999999997
8958.0,0.1,5.6000000000000005,0.2921,0.07406,0.047549999999999995,-0.024999999999999998
8958.0,0.1,5.8999999999999995,0.3059,0.07640000000000001,0.04992,-0.0255
8958.0,0.1,6.2,0.3195,0.07881,0.05236,-0.0262
8958.0,0.1,6.5,0.3329,0.0813,0.05489999999999999,-0.0268
8958.0,0.1,6.799999999999999,0.3462,0.08386000000000002,0.057529999999999984,-0.0275
8958.0,0.1,7.1000000000000005,0.3594,0.08650000000000001,0.06024000000000001,-0.028299999999999995
8958.0,0.1,7.3999999999999995,0.3725,0.08919,0.06302,-0.029100000000000008
8958.0,0.1,7.700000000000001,0.3854000000000001,0.09194999999999999,0.06589,-0.029900000000000003
8958.0,0.1,8.0,0.39829999999999993,0.09477999999999999,0.06882,-0.030799999999999998
